                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3151,                 1.0598,                 1.2206,                0.18446,                0.15126,                0.08797,                0.03628,                 2.5194,                 2.3929,                  1.778,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2859,                 1.0293,                 1.2175,                 0.2361,                0.16807,                0.11594,                0.04172,                 2.5112,                 2.2729,                  1.723,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2691,                0.98899,                 1.1903,                0.36405,                0.13445,                0.10487,                0.03822,                 2.6014,                 2.4703,                 1.7574,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2105,                0.99319,                 1.1743,                0.18272,                 0.2437,                0.11157,                0.04632,                 2.5806,                 2.2822,                 1.8006,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2737,                 1.0393,                 1.2017,                 0.1859,                0.21849,                0.13112,                0.05487,                 2.5053,                 2.1601,                 1.7718,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.2741,                  1.018,                 1.1997,                0.25038,                0.12605,                0.09396,                0.04513,                 2.4043,                  2.212,                 1.6017,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2842,                 1.0115,                 1.1921,                0.13123,                0.15126,                 0.0754,                 0.0288,                 2.4527,                 2.4171,                 1.7184,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.245,                0.98001,                 1.1872,                0.14532,                0.15126,                0.05921,                0.02132,                 2.4871,                 2.6051,                 1.7239,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2387,                 1.0045,                 1.1725,                0.14496,                0.15966,                0.07285,                0.02994,                 2.3961,                 2.3641,                 1.7261,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2107,                0.96511,                 1.1815,                0.13582,                0.12547,                0.04477,                0.01588,                 2.7308,                 2.7268,                 1.8868,               0.001208,               0.001208,               0.001208
                     82,                 1.2686,                 1.0027,                 1.1868,                0.13733,                0.14286,                0.06257,                0.02369,                 2.7451,                 2.4835,                 2.0139,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2723,                 1.0019,                 1.1827,                0.13358,                0.16807,                0.06141,                0.02165,                 2.8879,                 2.6181,                 2.0301,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2466,                0.98771,                 1.2037,                0.35786,                0.23529,                0.18494,                0.08079,                 2.4629,                 2.3086,                 1.6439,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.3064,                 1.0365,                 1.1983,                0.31228,                0.19462,                0.14927,                0.05809,                 2.4446,                 2.3081,                 1.6189,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.3049,                 1.0222,                 1.1924,                0.23683,                0.15966,                0.09935,                0.03719,                 2.5405,                 2.4112,                 1.7285,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2493,                0.98335,                 1.1858,                0.19331,                0.14286,                0.08548,                0.03483,                 2.6222,                 2.4729,                 1.8908,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.2622,                0.99794,                 1.1898,                0.22667,                0.16505,                0.08356,                0.03222,                 2.6082,                 2.4099,                 1.8705,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2287,                0.95942,                 1.1704,                 0.1542,                0.15126,                0.08424,                0.02704,                 2.6564,                 2.5247,                 1.8066,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2136,                0.96191,                 1.1757,                0.26531,                0.19728,                0.15186,                0.05045,                 2.5585,                 2.1974,                 1.7202,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.2519,                0.98758,                  1.192,                 0.3025,                0.18487,                0.14221,                0.05245,                 2.5923,                 2.1758,                 1.6935,               0.001109,               0.001109,               0.001109
                     92,                 1.2364,                 1.0141,                 1.1923,                0.27377,                0.18487,                0.11317,                0.04198,                 2.5483,                 2.3528,                 1.7123,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1746,                 0.9266,                 1.1643,                0.32112,                0.17647,                0.13707,                0.05624,                 2.4289,                  2.224,                 1.6339,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1615,                0.89273,                  1.152,                0.20448,                0.16807,                0.09305,                0.03506,                 2.5042,                 2.4166,                 1.7227,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.1801,                0.91666,                 1.1707,                0.23589,                0.18487,                0.11106,                 0.0325,                 2.5628,                 2.3206,                 1.6924,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.2264,                0.97232,                 1.1923,                0.22453,                0.19466,                0.12186,                0.05521,                 2.4863,                 2.2537,                 1.7591,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.2526,                0.96632,                 1.1954,                0.18167,                0.22689,                0.10803,                0.04792,                 2.5337,                 2.2771,                 1.7064,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.2305,                0.94562,                 1.1696,                 0.1409,                0.15126,                   0.09,                0.03575,                 2.5923,                 2.3879,                  1.739,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.2831,                 0.9983,                 1.1933,                0.16615,                0.16807,                0.11519,                0.04818,                  2.414,                 2.3235,                 1.7361,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.1785,                0.92839,                 1.1608,                0.15186,                0.15197,                0.06569,                0.02411,                 2.6444,                 2.5474,                 1.8539,              0.0010199,              0.0010199,              0.0010199
                    101,                  1.233,                0.93793,                 1.1764,                0.20169,                0.22689,                0.10164,                0.03526,                   2.56,                  2.428,                 1.8313,                0.00101,                0.00101,                0.00101
                    102,                  1.149,                0.89838,                 1.1584,                0.19236,                0.14286,                0.08132,                0.03404,                 2.5902,                 2.7268,                 1.7448,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2538,                0.98693,                 1.1803,                 0.1714,                0.11765,                0.06363,                0.02555,                 2.7592,                 2.6585,                 1.9503,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1906,                0.94873,                 1.1555,                0.16355,                0.15966,                0.05648,                0.02222,                 2.6716,                 2.6228,                  1.878,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.2265,                0.93069,                 1.1413,                0.33986,                0.18487,                0.11721,                0.04379,                 2.5741,                 2.1708,                 1.9033,              0.0009704,              0.0009704,              0.0009704
